Trial 3 power 1 (W),time (seconds since jan 1 1975),Trial 3 power 2 (W),time (seconds since jan 1 1975),Sdifference
2.09E-05,1750367017,3.51E-05,1750367016,-2.54E-01
2.09E-05,1750367017,3.51E-05,1750367016,-2.54E-01
2.09E-05,1750367017,3.51E-05,1750367016,-2.54E-01
2.09E-05,1750367017,3.51E-05,1750367016,-2.54E-01
2.09E-05,1750367017,3.51E-05,1750367017,-2.54E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367017,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367018,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367018,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367018,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367018,3.50E-05,1750367017,-2.52E-01
2.09E-05,1750367018,3.50E-05,1750367018,-2.52E-01
2.09E-05,1750367018,3.50E-05,1750367018,-2.52E-01
2.09E-05,1750367018,3.50E-05,1750367018,-2.52E-01
2.09E-05,1750367018,3.50E-05,1750367018,-2.52E-01
2.09E-05,1750367018,3.50E-05,1750367018,-2.52E-01
2.08E-05,1750367018,3.50E-05,1750367018,-2.54E-01
2.08E-05,1750367018,3.50E-05,1750367018,-2.54E-01
2.08E-05,1750367018,3.50E-05,1750367018,-2.54E-01
2.08E-05,1750367018,3.51E-05,1750367018,-2.56E-01
2.08E-05,1750367018,3.51E-05,1750367018,-2.56E-01
2.08E-05,1750367018,3.51E-05,1750367018,-2.56E-01
2.08E-05,1750367019,3.51E-05,1750367018,-2.56E-01
2.08E-05,1750367019,3.51E-05,1750367018,-2.56E-01
2.08E-05,1750367019,3.51E-05,1750367018,-2.56E-01
2.08E-05,1750367019,3.51E-05,1750367018,-2.56E-01
2.08E-05,1750367019,3.51E-05,1750367019,-2.56E-01
2.08E-05,1750367019,3.51E-05,1750367019,-2.56E-01
2.08E-05,1750367019,3.51E-05,1750367019,-2.56E-01
2.08E-05,1750367019,3.51E-05,1750367019,-2.56E-01
2.08E-05,1750367019,3.51E-05,1750367019,-2.56E-01
2.08E-05,1750367019,3.52E-05,1750367019,-2.57E-01
2.08E-05,1750367019,3.51E-05,1750367019,-2.56E-01
2.09E-05,1750367019,3.51E-05,1750367019,-2.54E-01
2.09E-05,1750367019,3.51E-05,1750367019,-2.54E-01
2.09E-05,1750367019,3.51E-05,1750367019,-2.54E-01
2.09E-05,1750367019,3.51E-05,1750367019,-2.54E-01
2.09E-05,1750367020,3.51E-05,1750367019,-2.54E-01
2.10E-05,1750367020,3.50E-05,1750367019,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367019,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.49E-05,1750367020,-2.49E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.50E-05,1750367020,-2.50E-01
2.10E-05,1750367020,3.49E-05,1750367020,-2.49E-01
2.10E-05,1750367021,3.49E-05,1750367020,-2.49E-01
2.10E-05,1750367021,3.49E-05,1750367020,-2.49E-01
2.10E-05,1750367021,3.49E-05,1750367020,-2.49E-01
2.10E-05,1750367021,3.49E-05,1750367021,-2.49E-01
2.10E-05,1750367021,3.49E-05,1750367021,-2.49E-01
2.09E-05,1750367021,3.49E-05,1750367021,-2.51E-01
2.09E-05,1750367021,3.49E-05,1750367021,-2.51E-01
2.09E-05,1750367021,3.50E-05,1750367021,-2.52E-01
2.09E-05,1750367021,3.50E-05,1750367021,-2.52E-01
2.09E-05,1750367021,3.50E-05,1750367021,-2.52E-01
2.09E-05,1750367021,3.50E-05,1750367021,-2.52E-01
2.09E-05,1750367021,3.50E-05,1750367021,-2.52E-01
2.09E-05,1750367021,3.50E-05,1750367021,-2.52E-01
2.09E-05,1750367021,3.50E-05,1750367021,-2.52E-01
2.09E-05,1750367021,3.50E-05,1750367021,-2.52E-01
2.09E-05,1750367022,3.50E-05,1750367021,-2.52E-01
2.09E-05,1750367022,3.50E-05,1750367021,-2.52E-01
2.10E-05,1750367022,3.50E-05,1750367021,-2.50E-01
2.10E-05,1750367022,3.50E-05,1750367022,-2.50E-01
2.10E-05,1750367022,3.50E-05,1750367022,-2.50E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367022,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367022,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367023,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367023,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
2.10E-05,1750367024,3.49E-05,1750367024,-2.49E-01
