Time Stamp [s],Stokes 1,Stokes 2,Stokes 3,Azimuth [],Ellipticity [],Power Split Ratio,Phase Difference [],DOP [%],Power [dBm],Power [W]
4.14E+00,4.15E-01,-3.03E-01,8.58E-01,-1.81E+01,2.95E+01,7.07E-01,1.09E+02,2.99E+01,-3.11E+01,7.84E-07
4.17E+00,4.13E-01,-3.05E-01,8.58E-01,-1.82E+01,2.95E+01,7.07E-01,1.10E+02,2.99E+01,-3.11E+01,7.84E-07
4.20E+00,4.15E-01,-3.08E-01,8.56E-01,-1.83E+01,2.94E+01,7.08E-01,1.10E+02,2.98E+01,-3.11E+01,7.85E-07
4.23E+00,4.17E-01,-3.04E-01,8.56E-01,-1.80E+01,2.95E+01,7.09E-01,1.10E+02,2.98E+01,-3.11E+01,7.84E-07
4.26E+00,4.17E-01,-3.07E-01,8.56E-01,-1.82E+01,2.94E+01,7.08E-01,1.10E+02,2.98E+01,-3.11E+01,7.84E-07
4.29E+00,4.16E-01,-3.06E-01,8.56E-01,-1.82E+01,2.94E+01,7.08E-01,1.10E+02,2.97E+01,-3.11E+01,7.84E-07
4.32E+00,4.18E-01,-3.09E-01,8.54E-01,-1.82E+01,2.93E+01,7.09E-01,1.10E+02,2.97E+01,-3.11E+01,7.85E-07
4.35E+00,4.16E-01,-3.08E-01,8.56E-01,-1.83E+01,2.94E+01,7.08E-01,1.10E+02,2.97E+01,-3.11E+01,7.85E-07
4.38E+00,4.16E-01,-3.08E-01,8.56E-01,-1.82E+01,2.94E+01,7.08E-01,1.10E+02,2.97E+01,-3.10E+01,7.85E-07
4.41E+00,4.17E-01,-3.10E-01,8.55E-01,-1.83E+01,2.94E+01,7.08E-01,1.10E+02,2.97E+01,-3.10E+01,7.86E-07
4.44E+00,4.18E-01,-3.09E-01,8.55E-01,-1.82E+01,2.94E+01,7.09E-01,1.10E+02,2.97E+01,-3.10E+01,7.86E-07
4.47E+00,4.18E-01,-3.09E-01,8.54E-01,-1.82E+01,2.93E+01,7.09E-01,1.10E+02,2.98E+01,-3.10E+01,7.86E-07
4.50E+00,4.21E-01,-3.06E-01,8.54E-01,-1.80E+01,2.93E+01,7.11E-01,1.10E+02,2.98E+01,-3.10E+01,7.86E-07
4.53E+00,4.23E-01,-3.07E-01,8.53E-01,-1.80E+01,2.93E+01,7.11E-01,1.10E+02,2.98E+01,-3.10E+01,7.86E-07
4.56E+00,4.24E-01,-3.03E-01,8.53E-01,-1.78E+01,2.93E+01,7.12E-01,1.10E+02,2.98E+01,-3.11E+01,7.85E-07
4.59E+00,4.23E-01,-3.03E-01,8.54E-01,-1.78E+01,2.93E+01,7.12E-01,1.10E+02,2.98E+01,-3.10E+01,7.85E-07
4.62E+00,4.26E-01,-3.01E-01,8.53E-01,-1.76E+01,2.93E+01,7.13E-01,1.09E+02,2.98E+01,-3.11E+01,7.85E-07
4.65E+00,4.28E-01,-3.02E-01,8.52E-01,-1.76E+01,2.92E+01,7.14E-01,1.10E+02,2.98E+01,-3.10E+01,7.85E-07
4.68E+00,4.30E-01,-2.99E-01,8.52E-01,-1.74E+01,2.92E+01,7.15E-01,1.09E+02,2.98E+01,-3.11E+01,7.85E-07
4.71E+00,4.28E-01,-3.01E-01,8.52E-01,-1.75E+01,2.92E+01,7.14E-01,1.09E+02,2.97E+01,-3.11E+01,7.85E-07
4.74E+00,4.27E-01,-3.03E-01,8.52E-01,-1.76E+01,2.92E+01,7.14E-01,1.10E+02,2.97E+01,-3.10E+01,7.86E-07
4.77E+00,4.28E-01,-3.00E-01,8.53E-01,-1.75E+01,2.92E+01,7.14E-01,1.09E+02,2.97E+01,-3.11E+01,7.85E-07
4.80E+00,4.29E-01,-3.01E-01,8.52E-01,-1.75E+01,2.92E+01,7.14E-01,1.09E+02,2.97E+01,-3.11E+01,7.85E-07
4.83E+00,4.27E-01,-3.01E-01,8.53E-01,-1.76E+01,2.92E+01,7.14E-01,1.09E+02,2.98E+01,-3.10E+01,7.85E-07
