Time[date hh:mm:ss], Elapsed Time [hh:mm:ss:ms], Normalized s 1 , Normalized s 2 , Normalized s 3 , S 0 [mW], S 1 [mW], S 2 [mW], S 3 [mW], Azimuth[°] , Ellipticity[°] , DOP[%] , DOCP[%] , DOLP[%] , Power[mW] , Pol Power[mW] , Unpol Power[mW] , Power[dBm] , Pol Power[dBm] , Unpol Power[dBm] , Power-Split-Ratio , Phase Difference[°] ,
49:17.8,0.00:07:33:199,-0.94,-0.14,-0.31,0.02464,-0.01448,-0.002222,-0.00485,-85.64,-9.16,62.64,19.69,59.47,0.02464,0.01543,0.009203,-16.084,-18.116,-20.36,0.03,-114.62,
49:17.9,0.00:07:33:232,-0.94,-0.15,-0.31,0.02456,-0.01444,-0.002346,-0.004812,-85.39,-9.11,62.69,19.59,59.55,0.02456,0.0154,0.009163,-16.098,-18.125,-20.38,0.03,-115.99,
49:17.9,0.00:07:33:263,-0.94,-0.15,-0.31,0.02446,-0.01448,-0.002383,-0.004772,-85.33,-9.01,63.07,19.51,59.97,0.02446,0.01543,0.009035,-16.115,-18.117,-20.441,0.03,-116.53,
49:17.9,0.00:07:33:294,-0.94,-0.15,-0.3,0.02442,-0.01467,-0.002375,-0.004721,-85.4,-8.81,63.86,19.34,60.86,0.02442,0.01559,0.008824,-16.123,-18.071,-20.543,0.03,-116.71,
49:18.0,0.00:07:33:341,-0.94,-0.16,-0.3,0.02434,-0.01457,-0.002422,-0.00465,-85.28,-8.74,63.61,19.1,60.68,0.02434,0.01548,0.008858,-16.136,-18.101,-20.527,0.03,-117.52,
49:18.0,0.00:07:33:372,-0.94,-0.16,-0.3,0.02436,-0.01461,-0.002448,-0.004612,-85.25,-8.65,63.71,18.94,60.83,0.02436,0.01552,0.008839,-16.134,-18.092,-20.536,0.03,-117.96,
49:18.0,0.00:07:33:404,-0.94,-0.16,-0.3,0.02431,-0.01457,-0.002401,-0.004573,-85.32,-8.6,63.59,18.81,60.75,0.02431,0.01546,0.008852,-16.142,-18.108,-20.53,0.03,-117.7,
49:18.1,0.00:07:33:435,-0.94,-0.16,-0.29,0.02428,-0.01453,-0.002423,-0.00453,-85.27,-8.55,63.46,18.66,60.66,0.02428,0.01541,0.008872,-16.147,-18.122,-20.52,0.03,-118.14,
49:18.1,0.00:07:33:466,-0.94,-0.16,-0.29,0.02426,-0.01452,-0.002435,-0.004497,-85.24,-8.49,63.44,18.54,60.67,0.02426,0.01539,0.00887,-16.15,-18.127,-20.521,0.03,-118.43,
49:18.1,0.00:07:33:497,-0.94,-0.16,-0.29,0.02423,-0.01448,-0.002453,-0.004465,-85.19,-8.46,63.35,18.43,60.61,0.02423,0.01535,0.008883,-16.156,-18.139,-20.514,0.03,-118.78,
49:18.2,0.00:07:33:544,-0.94,-0.16,-0.29,0.02422,-0.01447,-0.00249,-0.004442,-85.12,-8.42,63.33,18.34,60.61,0.02422,0.01534,0.008881,-16.159,-18.143,-20.515,0.03,-119.27,
49:18.2,0.00:07:33:575,-0.94,-0.16,-0.29,0.0242,-0.01446,-0.002491,-0.004421,-85.11,-8.38,63.32,18.26,60.63,0.0242,0.01533,0.008878,-16.161,-18.146,-20.517,0.03,-119.4,
49:18.2,0.00:07:33:607,-0.94,-0.16,-0.29,0.02418,-0.01447,-0.002499,-0.004397,-85.1,-8.34,63.4,18.19,60.73,0.02418,0.01533,0.008849,-16.166,-18.146,-20.531,0.03,-119.61,
49:18.3,0.00:07:33:639,-0.94,-0.16,-0.28,0.02414,-0.01448,-0.002507,-0.004367,-85.09,-8.28,63.49,18.09,60.86,0.02414,0.01533,0.008813,-16.172,-18.145,-20.549,0.03,-119.86,
49:18.3,0.00:07:33:670,-0.94,-0.16,-0.28,0.02411,-0.01445,-0.002497,-0.004358,-85.1,-8.28,63.45,18.08,60.82,0.02411,0.0153,0.008812,-16.178,-18.154,-20.549,0.03,-119.81,
49:18.3,0.00:07:33:702,-0.94,-0.17,-0.28,0.02409,-0.01443,-0.002525,-0.004352,-85.04,-8.27,63.46,18.07,60.83,0.02409,0.01529,0.008802,-16.182,-18.157,-20.554,0.03,-120.12,
49:18.4,0.00:07:33:733,-0.94,-0.17,-0.28,0.02408,-0.01444,-0.002539,-0.004342,-85.01,-8.25,63.5,18.03,60.88,0.02408,0.01529,0.008789,-16.184,-18.156,-20.561,0.03,-120.32,
49:18.4,0.00:07:33:764,-0.94,-0.17,-0.28,0.02406,-0.01443,-0.002572,-0.004336,-84.95,-8.24,63.54,18.02,60.93,0.02406,0.01529,0.008772,-16.187,-18.156,-20.569,0.03,-120.67,
49:18.4,0.00:07:33:811,-0.94,-0.17,-0.28,0.02405,-0.01444,-0.002603,-0.004325,-84.89,-8.21,63.59,17.99,61,0.02405,0.01529,0.008755,-16.189,-18.155,-20.577,0.03,-121.04,
49:18.5,0.00:07:33:842,-0.94,-0.17,-0.28,0.02404,-0.01444,-0.002627,-0.004318,-84.84,-8.2,63.65,17.96,61.07,0.02404,0.0153,0.008737,-16.191,-18.153,-20.587,0.03,-121.32,
49:18.5,0.00:07:33:874,-0.94,-0.17,-0.28,0.02402,-0.01444,-0.00265,-0.004314,-84.8,-8.19,63.72,17.96,61.14,0.02402,0.0153,0.008714,-16.194,-18.152,-20.598,0.03,-121.56,
49:18.5,0.00:07:33:905,-0.94,-0.17,-0.28,0.02398,-0.01446,-0.002648,-0.00431,-84.81,-8.17,63.91,17.98,61.32,0.02398,0.01532,0.008654,-16.202,-18.147,-20.628,0.03,-121.56,
49:18.6,0.00:07:33:936,-0.94,-0.17,-0.28,0.02395,-0.01446,-0.002671,-0.004311,-84.77,-8.17,63.97,18,61.38,0.02395,0.01532,0.00863,-16.207,-18.147,-20.64,0.03,-121.78,
49:18.6,0.00:07:33:967,-0.94,-0.18,-0.28,0.02394,-0.01448,-0.002698,-0.004305,-84.72,-8.15,64.11,17.98,61.53,0.02394,0.01535,0.008593,-16.208,-18.139,-20.658,0.03,-122.07,
49:18.6,0.00:07:33:999,-0.94,-0.18,-0.28,0.02392,-0.01447,-0.002697,-0.004304,-84.72,-8.15,64.1,17.99,61.53,0.02392,0.01533,0.008586,-16.212,-18.143,-20.662,0.03,-122.07,
49:18.7,0.00:07:34:045,-0.94,-0.18,-0.28,0.0239,-0.01447,-0.002735,-0.004306,-84.65,-8.15,64.17,18.01,61.59,0.0239,0.01534,0.008565,-16.215,-18.142,-20.673,0.03,-122.42,
49:18.7,0.00:07:34:077,-0.94,-0.18,-0.28,0.0239,-0.01448,-0.002751,-0.004303,-84.62,-8.14,64.25,18,61.68,0.0239,0.01536,0.008545,-16.215,-18.136,-20.683,0.03,-122.59,
49:18.7,0.00:07:34:108,-0.94,-0.18,-0.28,0.02389,-0.01448,-0.002766,-0.004302,-84.6,-8.13,64.29,18.01,61.72,0.02389,0.01536,0.008531,-16.218,-18.136,-20.69,0.03,-122.74,
49:18.8,0.00:07:34:140,-0.94,-0.18,-0.28,0.02389,-0.0145,-0.002796,-0.004305,-84.54,-8.13,64.39,18.02,61.82,0.02389,0.01538,0.008505,-16.219,-18.13,-20.703,0.03,-123,
49:18.8,0.00:07:34:172,-0.94,-0.18,-0.28,0.02387,-0.01449,-0.0028,-0.004303,-84.53,-8.13,64.42,18.03,61.84,0.02387,0.01538,0.008494,-16.221,-18.131,-20.709,0.03,-123.05,
49:18.8,0.00:07:34:200,-0.94,-0.18,-0.28,0.02386,-0.0145,-0.002818,-0.004306,-84.5,-8.12,64.49,18.05,61.92,0.02386,0.01539,0.008473,-16.223,-18.128,-20.72,0.03,-123.2,
49:18.9,0.00:07:34:247,-0.94,-0.18,-0.28,0.02386,-0.01452,-0.002831,-0.004304,-84.48,-8.11,64.56,18.04,61.99,0.02386,0.0154,0.008454,-16.224,-18.124,-20.729,0.03,-123.34,
49:18.9,0.00:07:34:278,-0.94,-0.18,-0.28,0.02384,-0.01451,-0.00284,-0.004305,-84.46,-8.12,64.61,18.06,62.03,0.02384,0.0154,0.008438,-16.227,-18.124,-20.738,0.03,-123.41,
49:18.9,0.00:07:34:310,-0.94,-0.19,-0.28,0.02383,-0.01452,-0.002863,-0.004306,-84.42,-8.11,64.66,18.07,62.09,0.02383,0.01541,0.008422,-16.228,-18.122,-20.746,0.03,-123.62,
49:19.0,0.00:07:34:341,-0.94,-0.19,-0.28,0.02383,-0.01453,-0.00288,-0.004307,-84.39,-8.11,64.74,18.08,62.16,0.02383,0.01542,0.008402,-16.23,-18.118,-20.756,0.03,-123.77,
49:19.0,0.00:07:34:372,-0.94,-0.19,-0.28,0.02381,-0.01453,-0.002879,-0.004306,-84.4,-8.1,64.8,18.08,62.22,0.02381,0.01543,0.008383,-16.232,-18.117,-20.766,0.03,-123.76,
49:19.0,0.00:07:34:403,-0.94,-0.19,-0.28,0.0238,-0.01454,-0.002897,-0.004308,-84.36,-8.1,64.85,18.1,62.27,0.0238,0.01543,0.008367,-16.234,-18.115,-20.774,0.03,-123.91,
49:19.1,0.00:07:34:435,-0.94,-0.19,-0.28,0.0238,-0.01455,-0.002912,-0.004305,-84.34,-8.09,64.92,18.09,62.35,0.0238,0.01545,0.008349,-16.235,-18.111,-20.784,0.03,-124.08,
49:19.1,0.00:07:34:482,-0.94,-0.19,-0.28,0.02378,-0.01455,-0.002914,-0.00431,-84.34,-8.1,64.97,18.12,62.39,0.02378,0.01545,0.008331,-16.237,-18.11,-20.793,0.03,-124.06,
49:19.1,0.00:07:34:513,-0.94,-0.19,-0.28,0.02377,-0.01455,-0.002932,-0.004314,-84.3,-8.1,65.04,18.14,62.45,0.02377,0.01546,0.008312,-16.239,-18.108,-20.803,0.03,-124.21,
49:19.2,0.00:07:34:544,-0.94,-0.19,-0.28,0.02376,-0.01456,-0.002939,-0.004315,-84.29,-8.1,65.09,18.16,62.51,0.02376,0.01547,0.008295,-16.241,-18.106,-20.812,0.03,-124.26,
49:19.2,0.00:07:34:575,-0.94,-0.19,-0.28,0.02374,-0.01455,-0.002948,-0.004319,-84.27,-8.11,65.11,18.19,62.52,0.02374,0.01546,0.008282,-16.245,-18.108,-20.819,0.03,-124.32,
49:19.2,0.00:07:34:607,-0.94,-0.19,-0.28,0.02374,-0.01456,-0.002957,-0.00432,-84.26,-8.11,65.19,18.2,62.6,0.02374,0.01548,0.008262,-16.245,-18.103,-20.829,0.03,-124.39,
49:19.3,0.00:07:34:641,-0.94,-0.19,-0.28,0.02373,-0.01456,-0.002972,-0.004323,-84.23,-8.11,65.24,18.22,62.65,0.02373,0.01548,0.008246,-16.248,-18.102,-20.838,0.03,-124.51,
49:19.3,0.00:07:34:678,-0.94,-0.19,-0.28,0.02372,-0.01458,-0.002974,-0.004323,-84.23,-8.1,65.31,18.23,62.71,0.02372,0.01549,0.008229,-16.249,-18.099,-20.846,0.03,-124.52,
49:19.3,0.00:07:34:708,-0.94,-0.19,-0.28,0.0237,-0.01458,-0.002982,-0.004332,-84.22,-8.12,65.37,18.27,62.77,0.0237,0.0155,0.008208,-16.252,-18.098,-20.857,0.03,-124.54,
49:19.4,0.00:07:34:745,-0.94,-0.19,-0.28,0.0237,-0.01459,-0.002987,-0.004335,-84.21,-8.12,65.43,18.29,62.83,0.0237,0.01551,0.008191,-16.253,-18.095,-20.866,0.03,-124.57,
49:19.4,0.00:07:34:775,-0.94,-0.19,-0.28,0.02365,-0.01459,-0.002975,-0.004383,-84.24,-8.2,65.66,18.54,62.99,0.02365,0.01553,0.00812,-16.263,-18.09,-20.904,0.03,-124.17,
49:19.4,0.00:07:34:811,-0.94,-0.18,-0.28,0.02363,-0.0147,-0.002886,-0.004441,-84.45,-8.26,66.1,18.79,63.37,0.02363,0.01562,0.008012,-16.265,-18.063,-20.963,0.03,-123.01,
49:19.5,0.00:07:34:845,-0.94,-0.19,-0.29,0.02359,-0.01463,-0.002882,-0.004448,-84.43,-8.3,65.98,18.86,63.23,0.02359,0.01556,0.008024,-16.273,-18.079,-20.956,0.03,-122.94,
49:19.5,0.00:07:34:875,-0.94,-0.19,-0.29,0.0236,-0.01467,-0.002917,-0.00446,-84.38,-8.3,66.15,18.9,63.39,0.0236,0.01561,0.007988,-16.271,-18.066,-20.976,0.03,-123.19,
49:19.5,0.00:07:34:914,-0.94,-0.19,-0.29,0.02358,-0.01465,-0.002884,-0.004467,-84.43,-8.33,66.11,18.94,63.34,0.02358,0.01559,0.007992,-16.274,-18.072,-20.973,0.03,-122.85,
49:19.6,0.00:07:34:943,-0.94,-0.19,-0.29,0.02356,-0.01464,-0.002918,-0.004474,-84.37,-8.34,66.14,18.99,63.35,0.02356,0.01559,0.007979,-16.277,-18.073,-20.98,0.03,-123.11,
49:19.6,0.00:07:34:975,-0.94,-0.19,-0.29,0.02357,-0.01466,-0.002892,-0.004486,-84.42,-8.35,66.21,19.04,63.42,0.02357,0.0156,0.007963,-16.277,-18.068,-20.989,0.03,-122.81,
49:19.6,0.00:07:35:015,-0.94,-0.19,-0.29,0.02355,-0.01465,-0.002898,-0.004489,-84.41,-8.37,66.21,19.06,63.4,0.02355,0.01559,0.00796,-16.28,-18.071,-20.991,0.03,-122.84,
