Trial 2power 1 (W),time (seconds since jan 1 1975),Trial 2power 2 (W),time (seconds since jan 1 1975),Sdifference
2.10E-05,1750366820,3.48E-05,1750366820,-2.47E-01
2.10E-05,1750366821,3.48E-05,1750366820,-2.47E-01
2.10E-05,1750366821,3.49E-05,1750366820,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366821,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366822,3.49E-05,1750366821,-2.49E-01
2.10E-05,1750366822,3.49E-05,1750366821,-2.49E-01
2.11E-05,1750366822,3.49E-05,1750366822,-2.46E-01
2.11E-05,1750366822,3.49E-05,1750366822,-2.46E-01
2.11E-05,1750366822,3.48E-05,1750366822,-2.45E-01
2.11E-05,1750366822,3.48E-05,1750366822,-2.45E-01
2.11E-05,1750366822,3.48E-05,1750366822,-2.45E-01
2.10E-05,1750366822,3.49E-05,1750366822,-2.49E-01
2.10E-05,1750366822,3.48E-05,1750366822,-2.47E-01
2.10E-05,1750366822,3.49E-05,1750366822,-2.49E-01
2.10E-05,1750366822,3.49E-05,1750366822,-2.49E-01
2.10E-05,1750366822,3.49E-05,1750366822,-2.49E-01
2.10E-05,1750366822,3.49E-05,1750366822,-2.49E-01
2.10E-05,1750366822,3.49E-05,1750366822,-2.49E-01
2.10E-05,1750366822,3.49E-05,1750366822,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366822,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366822,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366823,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366823,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366824,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366824,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.49E-05,1750366825,-2.49E-01
2.10E-05,1750366825,3.48E-05,1750366825,-2.47E-01
2.11E-05,1750366825,3.48E-05,1750366825,-2.45E-01
2.11E-05,1750366825,3.48E-05,1750366825,-2.45E-01
2.11E-05,1750366826,3.48E-05,1750366826,-2.45E-01
2.11E-05,1750366826,3.48E-05,1750366826,-2.45E-01
2.11E-05,1750366826,3.48E-05,1750366826,-2.45E-01
2.11E-05,1750366826,3.48E-05,1750366826,-2.45E-01
2.11E-05,1750366826,3.48E-05,1750366826,-2.45E-01
2.11E-05,1750366826,3.48E-05,1750366826,-2.45E-01
2.11E-05,1750366826,3.48E-05,1750366826,-2.45E-01
2.11E-05,1750366826,3.48E-05,1750366826,-2.45E-01
2.10E-05,1750366826,3.49E-05,1750366826,-2.49E-01
2.10E-05,1750366826,3.49E-05,1750366826,-2.49E-01
2.10E-05,1750366826,3.49E-05,1750366826,-2.49E-01
2.10E-05,1750366826,3.49E-05,1750366826,-2.49E-01
2.10E-05,1750366826,3.49E-05,1750366826,-2.49E-01
2.10E-05,1750366826,3.49E-05,1750366826,-2.49E-01
2.09E-05,1750366827,3.49E-05,1750366826,-2.51E-01
2.09E-05,1750366827,3.49E-05,1750366827,-2.51E-01
2.09E-05,1750366827,3.49E-05,1750366827,-2.51E-01
2.09E-05,1750366827,3.49E-05,1750366827,-2.51E-01
2.10E-05,1750366827,3.49E-05,1750366827,-2.49E-01
2.10E-05,1750366827,3.49E-05,1750366827,-2.49E-01
2.10E-05,1750366827,3.49E-05,1750366827,-2.49E-01
