Equation,alpha(rad),beta(rad),gamma(rad)
F = 1476.52*Sdiff + -7.67381,0.7175782662795627,7.110150504294448,1.2776393521562945
F = 989.873*Sdiff + -21.0976,0.7175782662795627,8.545307036853574,2.0652252541704486
F = 916.34*Sdiff + -18.3819,0.7175782662795627,5.342457701996013,2.170236707772336
F = 7506.56*Sdiff + -74.731,0.7175782662795627,10.943068560763331,2.3627577060424625
F = 2253.8*Sdiff + -35.0725,0.7175782662795627,7.67021159017118,2.3802596149761106
F = 1470.77*Sdiff + -27.4089,0.7175782662795627,5.990028332540984,2.3977615239097583
F = 989.873*Sdiff + -21.0976,0.7175782662795627,8.930349033393828,2.4502672507107017
F = 2269.61*Sdiff + 0.262897,0.7175782662795627,7.0926485953608,2.9578226097864904
F = 2253.8*Sdiff + -35.0725,0.7175782662795627,8.615314672588164,3.3253626973930954
F = 991.144*Sdiff + -14.6073,0.7175782662795627,6.777614234555138,3.8329180564688836
F = 1476.52*Sdiff + -7.67381,0.7175782662795627,9.71793493540798,3.8854237832698275
F = 2269.61*Sdiff + 0.262897,0.7175782662795627,8.037751677777784,3.902925692203475
F = 7702.41*Sdiff + 54.3043,0.7175782662795627,4.764894707185634,3.9204276011371233
F = 916.514*Sdiff + -17.4239,0.7175782662795627,10.365505565952953,4.112948599407249
F = 991.144*Sdiff + -14.6073,0.7175782662795627,7.162656231095392,4.217960053009137
F = 1470.77*Sdiff + -27.4089,0.7175782662795627,8.597812763654517,5.005545955023291
F = 916.34*Sdiff + -18.3819,0.7175782662795627,8.825337579791938,5.653116585568262
F = 7702.41*Sdiff + 54.3043,0.7175782662795627,7.075146686427152,6.230679580378642
F = 7899.33*Sdiff + -57.3705,0.7350801752132106,8.632816581521812,0.05250572680094361
F = 1047.14*Sdiff + 4.64183,0.7350801752132106,6.882625688157026,0.6300687216113233
F = 1707.27*Sdiff + 16.1791,0.7350801752132106,7.110150504294448,1.2776393521562945
F = 1125.57*Sdiff + 0.370514,0.7350801752132106,8.545307036853574,2.0652252541704486
F = 1045.66*Sdiff + 3.52391,0.7350801752132106,5.342457701996013,2.170236707772336
F = 7899.33*Sdiff + -57.3705,0.7350801752132106,10.943068560763331,2.3627577060424625
F = 2515.78*Sdiff + -15.4854,0.7350801752132106,7.67021159017118,2.3802596149761106
F = 1658.25*Sdiff + -6.8671,0.7350801752132106,5.990028332540984,2.3977615239097583
F = 1125.57*Sdiff + 0.370514,0.7350801752132106,8.930349033393828,2.4502672507107017
F = 2650.3*Sdiff + 25.816,0.7350801752132106,7.0926485953608,2.9578226097864904
F = 2515.78*Sdiff + -15.4854,0.7350801752132106,8.615314672588164,3.3253626973930954
F = 1136.41*Sdiff + 7.94443,0.7350801752132106,6.777614234555138,3.8329180564688836
F = 1707.27*Sdiff + 16.1791,0.7350801752132106,9.71793493540798,3.8854237832698275
F = 2650.3*Sdiff + 25.816,0.7350801752132106,8.037751677777784,3.902925692203475
F = 9504.69*Sdiff + 96.7336,0.7350801752132106,4.764894707185634,3.9204276011371233
F = 1047.14*Sdiff + 4.64183,0.7350801752132106,10.365505565952953,4.112948599407249
F = 1136.41*Sdiff + 7.94443,0.7350801752132106,7.162656231095392,4.217960053009137
F = 1658.25*Sdiff + -6.8671,0.7350801752132106,8.597812763654517,5.005545955023291
F = 1045.66*Sdiff + 3.52391,0.7350801752132106,8.825337579791938,5.653116585568262
F = 9504.69*Sdiff + 96.7336,0.7350801752132106,7.075146686427152,6.230679580378642
F = 8458.68*Sdiff + -38.2517,0.7525820841468585,8.632816581521812,0.05250572680094361
F = 1301.73*Sdiff + 28.5805,0.7525820841468585,6.882625688157026,0.6300687216113233
F = 2176.23*Sdiff + 43.3162,0.7525820841468585,7.110150504294448,1.2776393521562945
F = 1385.68*Sdiff + 23.3284,0.7525820841468585,8.545307036853574,2.0652252541704486
