Equation,alpha(rad),beta(rad),gamma(rad)
F = 3903.41*Sdiff + 24.6955,4.060442872606306,5.499974882398844,6.265683398245938
F = 6586.65*Sdiff + 125.552,4.077944781539954,10.207988385550122,0.01750190893364787
F = 3873.19*Sdiff + 15.1328,4.077944781539954,5.499974882398844,6.265683398245938
F = 6654.16*Sdiff + 128.761,4.095446690473602,10.207988385550122,0.01750190893364787
F = 3944.08*Sdiff + 2.78141,4.095446690473602,5.499974882398844,6.265683398245938
F = 6839.77*Sdiff + 130.087,4.112948599407249,10.207988385550122,0.01750190893364787
F = 4104.81*Sdiff + -11.6578,4.112948599407249,5.499974882398844,6.265683398245938
F = 7141.69*Sdiff + 129.78,4.130450508340897,10.207988385550122,0.01750190893364787
F = 4339.41*Sdiff + -26.495,4.130450508340897,5.499974882398844,6.265683398245938
F = 4214.43*Sdiff + -19.1966,5.303078406895305,10.207988385550122,0.01750190893364787
F = 6976.21*Sdiff + 130.123,5.303078406895305,5.499974882398844,6.265683398245938
F = 4013.96*Sdiff + -4.24976,5.320580315828953,10.207988385550122,0.01750190893364787
F = 6732.37*Sdiff + 129.644,5.320580315828953,5.499974882398844,6.265683398245938
F = 3896.73*Sdiff + 9.27617,5.3380822247626005,10.207988385550122,0.01750190893364787
F = 6605.43*Sdiff + 127.408,5.3380822247626005,5.499974882398844,6.265683398245938
F = 3874.86*Sdiff + 20.2867,5.355584133696248,10.207988385550122,0.01750190893364787
F = 6598.49*Sdiff + 123.166,5.355584133696248,5.499974882398844,6.265683398245938
F = 3961.09*Sdiff + 28.3283,5.373086042629897,10.207988385550122,0.01750190893364787
F = 6717.24*Sdiff + 116.759,5.373086042629897,5.499974882398844,6.265683398245938
F = 4176.98*Sdiff + 33.1525,5.390587951563544,10.207988385550122,0.01750190893364787
F = 6970.19*Sdiff + 108.215,5.390587951563544,5.499974882398844,6.265683398245938
F = 4561.92*Sdiff + 34.4682,5.408089860497192,10.207988385550122,0.01750190893364787
F = 7377.45*Sdiff + 97.0808,5.408089860497192,5.499974882398844,6.265683398245938
F = 5188.5*Sdiff + 31.7473,5.42559176943084,10.207988385550122,0.01750190893364787
F = 7968.04*Sdiff + 82.6882,5.42559176943084,5.499974882398844,6.265683398245938
F = 6195.47*Sdiff + 23.9696,5.443093678364487,10.207988385550122,0.01750190893364787
F = 8778.13*Sdiff + 64.3115,5.443093678364487,5.499974882398844,6.265683398245938
F = 7868.11*Sdiff + 9.14339,5.460595587298136,10.207988385550122,0.01750190893364787
F = 9847*Sdiff + 41.2827,5.460595587298136,5.499974882398844,6.265683398245938
F = 10863.5*Sdiff + -16.6934,5.478097496231784,10.207988385550122,0.01750190893364787
F = 11204.1*Sdiff + 13.2964,5.478097496231784,5.499974882398844,6.265683398245938
F = 16913.9*Sdiff + -60.2632,5.495599405165431,10.207988385550122,0.01750190893364787
F = 12840.1*Sdiff + -18.9847,5.495599405165431,5.499974882398844,6.265683398245938
F = 14661.2*Sdiff + -53.0965,5.513101314099079,5.499974882398844,6.265683398245938
F = 17605.5*Sdiff + 87.446,5.600610858767318,10.207988385550122,0.01750190893364787
