time (s),strain (mm/mm),phase (pi radians)
4.395136000000000043e-01,8.324121212121211519e-03,1.536926363684409935e-04
4.391304999999999792e-01,8.316865530303030329e-03,2.296781878192710735e-04
4.398552000000000017e-01,8.330590909090909019e-03,2.993306463496825387e-04
4.376983999999999875e-01,8.289742424242425162e-03,3.199065964704095322e-04
4.371286999999999812e-01,8.278952651515151737e-03,3.488342854495174450e-04
4.366979000000000277e-01,8.270793560606061814e-03,4.785366890714959354e-04
4.361421999999999799e-01,8.260268939393938803e-03,5.658674237207783619e-04
4.329448000000000185e-01,8.199712121212121563e-03,6.718446566842395384e-04
4.323960000000000026e-01,8.189318181818181289e-03,6.100792301407809148e-04
4.314361999999999919e-01,8.171140151515151467e-03,7.412245138213036100e-04
4.322540000000000271e-01,8.186628787878787866e-03,7.781624336459236346e-04
4.287915999999999950e-01,8.121053030303030523e-03,8.295325300610167929e-04
4.278982000000000063e-01,8.104132575757577034e-03,8.790334004922240041e-04
4.311609000000000136e-01,8.165926136363636095e-03,8.644161250619397663e-04
4.294397999999999826e-01,8.133329545454544285e-03,9.308633870764859708e-04
4.293598000000000137e-01,8.131814393939394356e-03,9.729432358211997922e-04
4.304446000000000105e-01,8.152359848484849736e-03,9.664297953118072826e-04
4.294507000000000185e-01,8.133535984848484779e-03,9.486921900171418898e-04
4.317568999999999990e-01,8.177214015151515816e-03,1.002998246491748624e-03
4.289948000000000095e-01,8.124901515151515541e-03,9.892046885437433268e-04
4.273966000000000154e-01,8.094632575757576207e-03,9.889814850298495053e-04
4.311183000000000098e-01,8.165119318181817895e-03,9.713289957248294471e-04
4.290034999999999821e-01,8.125066287878788748e-03,1.082989754410679240e-03
4.266596999999999751e-01,8.080676136363635839e-03,1.024156810395970840e-03
4.296162000000000036e-01,8.136670454545455455e-03,1.027779081755553214e-03
4.286948999999999899e-01,8.119221590909091874e-03,1.061741999767829014e-03
4.244519999999999960e-01,8.038863636363635656e-03,1.053280358640107384e-03
4.277352999999999850e-01,8.101047348484848726e-03,1.020474185889630458e-03
4.262980000000000103e-01,8.073825757575757087e-03,9.982114198077152167e-04
4.252345000000000153e-01,8.053683712121213409e-03,9.945717733317871456e-04
4.236729000000000189e-01,8.024107954545453905e-03,9.765806676121924212e-04
4.269831000000000043e-01,8.086801136363636761e-03,9.719184163025085255e-04
4.270555999999999797e-01,8.088174242424242197e-03,9.405841339650278243e-04
4.254012999999999822e-01,8.056842803030303535e-03,8.487574617610516015e-04
4.253991999999999774e-01,8.056803030303030452e-03,8.295027009576072530e-04
4.251075000000000270e-01,8.051278409090910707e-03,8.599663152127901000e-04
4.212915999999999883e-01,7.979007575757575063e-03,7.738642842826104484e-04
4.227355999999999892e-01,8.006356060606061031e-03,8.112395839739994230e-04
4.251034000000000201e-01,8.051200757575758746e-03,7.973857259018224397e-04
4.216103999999999963e-01,7.985045454545454738e-03,7.352686965815813380e-04
4.237054000000000098e-01,8.024723484848485244e-03,6.719741461137518357e-04
4.215574999999999739e-01,7.984043560606059534e-03,6.441171890979591197e-04
4.228045999999999749e-01,8.007662878787877997e-03,6.380234575489307502e-04
4.223955999999999822e-01,7.999916666666667328e-03,5.810863800433940796e-04
4.241282000000000107e-01,8.032731060606061388e-03,5.701929983130682444e-04
4.219108999999999776e-01,7.990736742424241895e-03,5.366286762134020449e-04
4.220398000000000205e-01,7.993178030303031006e-03,5.049088276436464184e-04
4.174357000000000206e-01,7.905979166666667057e-03,5.109921358914526479e-04
4.217742999999999909e-01,7.988149621212121618e-03,4.935695782974924839e-04
4.200236999999999998e-01,7.954994318181819388e-03,4.969017893264870978e-04
4.214098000000000011e-01,7.981246212121212089e-03,4.193703102642887259e-04
